cbsa,city,state
17740,COLDWATER,MI
21180,ELKINS,WV
14380,BOONE,NC
18740,COSHOCTON,OH
30260,LEWISBURG,PA
25460,HARRISON,AR
42500,SCOTTSBURG,IN
42300,SAULT SAINTE MARIE,MI
23980,GLASGOW,KY
45140,TAHLEQUAH,OK
37660,PARSONS,KS
47780,WASHINGTON,IN
40080,RICHMOND,KY
11620,ARDMORE,OK
34420,MOUNT PLEASANT,TX
19420,DAYTON,TN
47340,WABASH,IN
47660,WARRENSBURG,MO
26020,HOBBS,NM
22820,FORT MORGAN,CO
48820,WILLMAR,MN
25300,HANNIBAL,MO
15740,CAMBRIDGE,OH
46500,URBANA,OH
41820,SANFORD,NC
48220,WEATHERFORD,OK
14820,BREVARD,NC
48940,WILMINGTON,OH
44460,STEAMBOAT SPRINGS,CO
18020,COLUMBUS,IN
42820,SELMA,AL
11420,ANGOLA,IN
16340,CEDARTOWN,GA
20420,DURANGO,CO
32700,MCPHERSON,KS
40460,ROCKINGHAM,NC
43500,SILVER CITY,NM
12180,AUBURN,NY
23380,FREMONT,OH
45660,TIFFIN,OH
32380,MASON CITY,IA
35020,NATCHEZ,MS
16380,CELINA,OH
23700,GALLUP,NM
44340,STATESBORO,GA
33180,MIDDLESBORO,KY
21640,EUFAULA,AL
30380,LEWISTOWN,PA
46300,TWIN FALLS,ID
18620,CORSICANA,TX
48100,WAUCHULA,FL
11220,AMSTERDAM,NY
29980,LAWRENCEBURG,TN
34340,MOUNT AIRY,NC
14180,BLYTHEVILLE,AR
26780,HUTCHINSON,MN
24740,GREENVILLE,MS
16260,CEDAR CITY,UT
40180,RIVERTON,WY
46460,UNION CITY,TN
41780,SANDUSKY,OH
38500,PLYMOUTH,IN
43220,SHELTON,WA
34540,MOUNT VERNON,OH
27700,JESUP,GA
11140,AMERICUS,GA
32100,MARQUETTE,MI
47820,WASHINGTON,NC
27660,JENNINGS,LA
31820,MANITOWOC,WI
31860,MANKATO,MN
44020,SPIRIT LAKE,IA
39780,RED BLUFF,CA
30820,LOCK HAVEN,PA
20460,DURANT,OK
36380,OKEECHOBEE,FL
34180,MOSES LAKE,WA
27380,JACKSONVILLE,TX
38740,POPLAR BLUFF,MO
45340,TAOS,NM
34220,MOULTRIE,GA
10460,ALAMOGORDO,NM
29660,LARAMIE,WY
33940,MONTROSE,CO
26260,HOPE,AR
26660,HUNTSVILLE,TX
11900,ATHENS,OH
47620,WARREN,PA
12140,AUBURN,IN
32300,MARTINSVILLE,VA
34460,MOUNT STERLING,KY
25020,GUAYAMA,PR
22060,FARIBAULT,MN
35140,NEWBERRY,SC
21540,ESCANABA,MI
17500,CLEWISTON,FL
36660,OPELOUSAS,LA
11940,ATHENS,TN
25260,HANFORD,CA
26940,INDIANOLA,MS
24820,GREENVILLE,OH
22860,LEESVILLE,LA
45980,TROY,AL
32620,MCCOMB,MS
37740,PAYSON,AZ
27160,JACKSON,OH
48980,WILSON,NC
12780,BARTLESVILLE,OK
45620,THOMASVILLE,GA
15620,CADILLAC,MI
24380,GRANTS,NM
21580,ESPANOLA,NM
38100,PICAYUNE,MS
33380,MINDEN,LA
19180,DANVILLE,IL
16460,CENTRALIA,IL
21220,ELKO,NV
35700,NOGALES,AZ
25780,HENDERSON,NC
24180,GRANBURY,TX
45380,TAYLORVILLE,IL
25200,HAILEY,ID
25980,HINESVILLE,GA
19220,DANVILLE,KY
32280,MARTIN,TN
31020,LONGVIEW,WA
21420,ENID,OK
24330,GRAND RAPIDS,MN
49060,ARKANSAS CITY,KS
24180,GRANBURY,TX
32420,MAYAGUEZ,PR
43760,SONORA,CA
25760,WEST HELENA,AR
17700,INDEPENDENCE,KS
10620,ALBEMARLE,NC
31930,MARIETTA,OH
24100,GLOVERSVILLE,NY
34900,NAPA,CA
38460,PLATTSBURGH,NY
49300,WOOSTER,OH
38820,SEQUIM,WA
41760,SANDPOINT,ID
12120,BREWTON,AL
47080,VIDALIA,GA
29020,KOKOMO,IN
42420,SCOTTSBLUFF,NE
20900,EL CAMPO,TX
26300,HOT SPRINGS NATIONAL PARK,AR
39500,QUINCY,IL
18700,CORVALLIS,OR
20140,DUBLIN,GA
12900,BATESVILLE,AR
33140,MICHIGAN CITY,IN
20220,DUBUQUE,IA
19060,CUMBERLAND,MD
12120,ATMORE,AL
36020,OAK HARBOR,WA
37580,PARIS,TX
14620,BRADFORD,PA
28060,KALISPELL,MT
25780,HENDERSON,NC
13340,BELLEFONTAINE,OH
26860,INDIANA,PA
26740,HUTCHINSON,KS
42620,SEARCY,AR
49060,WINFIELD,KS
33500,MINOT,ND
38620,PONCA CITY,OK
43020,SHAWANO,WI
28380,KENNETT,MO
44620,STEVENS POINT,WI
18300,COOS BAY,OR
22540,FOND DU LAC,WI
15420,BURLEY,ID
39860,RED WING,MN
13660,BIG RAPIDS,MI
41260,SAINT MARYS,PA
35940,NORWALK,OH
27220,JACKSON,WY
11820,ASTORIA,OR
47020,VICTORIA,TX
47420,WAHPETON,ND
40740,ROSWELL,NM
39020,PORTSMOUTH,OH
15340,BUCYRUS,OH
34780,MUSKOGEE,OK
16260,CEDAR CITY,UT
14700,BRANSON,MO
22100,FARMINGTON,MO
29020,KOKOMO,IN
40740,ROSWELL,NM
49500,YAUCO,PR
30420,LEXINGTON,NE
41220,SAINT MARYS,GA
14220,BOGALUSA,LA
12860,BATAVIA,NY
48700,WILLIAMSPORT,PA
41220,KINGSLAND,GA
37800,PELLA,IA
24940,GREENWOOD,SC
38540,POCATELLO,ID
28900,KLAMATH FALLS,OR
35260,NEW CASTLE,PA
34350,LOGAN,WV
40260,ROANOKE RAPIDS,NC
22140,FARMINGTON,NM
10300,ADRIAN,MI
16180,CARSON CITY,NV
40660,ROME,GA
24220,GRAND FORKS,ND
14220,FRANKLINTON,LA
47540,WAPAKONETA,OH
14100,BLOOMSBURG,PA
44660,STILLWATER,OK
47240,VINEYARD HAVEN,MA
16660,MATTOON,IL
33140,LA PORTE,IN
29660,LARAMIE,WY
26500,HUNTINGDON,PA
37220,PAHRUMP,NV
28900,KLAMATH FALLS,OR
16940,CHEYENNE,WY
25740,HELENA,MT
17500,LABELLE,FL
27540,JASPER,IN
27020,IRON MOUNTAIN,MI
37120,OZARK,AL
22280,FERNLEY,NV
24420,GRANTS PASS,OR
40660,ROME,GA
42780,SELINSGROVE,PA
43100,SHEBOYGAN,WI
13020,BAY CITY,MI
28820,KINSTON,NC
34020,MORGAN CITY,LA
31980,MARION,IN
24500,GREAT FALLS,MT
44580,STERLING,IL
14300,BONHAM,TX
13540,BENNINGTON,VT
46380,UKIAH,CA
36380,OKEECHOBEE,FL
21420,ENID,OK
16660,CHARLESTON,IL
33220,MIDLAND,MI
31260,LUFKIN,TX
26740,HUTCHINSON,KS
20900,WHARTON,TX
18260,COOKEVILLE,TN
10760,ALEXANDER CITY,AL
12460,BAINBRIDGE,GA
48060,WATERTOWN,NY
33220,MIDLAND,MI
11780,ASHTABULA,OH
36980,OWENSBORO,KY
30020,LAWTON,OK
23500,GAFFNEY,SC
23500,GAFFNEY,SC
40100,ROMA,TX
24620,GREENEVILLE,TN
36700,ORANGEBURG,SC
37800,KNOXVILLE,IA
49220,MARSHFIELD,WI
35700,RIO RICO,AZ
24260,GRAND ISLAND,NE
28300,KEENE,NH
20060,DOUGLAS,GA
16020,CAPE GIRARDEAU,MO
40180,LANDER,WY
29100,LA CROSSE,WI
36580,ONEONTA,NY
17220,CLARKSBURG,WV
40860,RUTLAND,VT
38700,PONTIAC,IL
16420,GREENVILLE,KY
44780,STURGIS,MI
14580,BOZEMAN,MT
30340,LEWISTON,ME
36620,ONTARIO,OR
25500,HARRISONBURG,VA
23940,GILLETTE,WY
24940,GREENWOOD,SC
26460,HUDSON,NY
37300,PALESTINE,TX
28340,KENDALLVILLE,IN
24420,GRANTS PASS,OR
28260,KEARNEY,NE
32740,MEADVILLE,PA
19000,SYLVA,NC
11640,ARECIBO,PR
30860,LOGAN,UT
12460,BAINBRIDGE,GA
37260,PALATKA,FL
31740,MANHATTAN,KS
25200,KETCHUM,ID
16420,CENTRAL CITY,KY
36980,OWENSBORO,KY
24260,GRAND ISLAND,NE
39660,RAPID CITY,SD
38220,PINE BLUFF,AR
15340,GALION,OH
31980,MARION,IN
16340,ROCKMART,GA
48540,WHEELING,WV
28820,KINSTON,NC
42900,SENECA FALLS,NY
19140,DALTON,GA
17700,COFFEYVILLE,KS
12660,BARABOO,WI
28260,KEARNEY,NE
48220,CLINTON,OK
28100,KANKAKEE,IL
10940,ALMA,MI
40760,RUIDOSO,NM
27600,JEFFERSON,GA
48300,WENATCHEE,WA
45540,THE VILLAGES,FL
35900,NORTH WILKESBORO,NC
16500,CENTRALIA,WA
10140,ABERDEEN,WA
18900,CROSSVILLE,TN
38820,PORT ANGELES,WA
24780,GREENVILLE,NC
17640,AGUIRRE,PR
25760,HELENA,AR
14540,BOWLING GREEN,KY
16220,CASPER,WY
21060,ELIZABETHTOWN,KY
23860,GEORGETOWN,SC
24140,GOLDSBORO,NC
37620,PARKERSBURG,WV
28620,KITTY HAWK,NC
26660,HUNTSVILLE,TX
12620,BANGOR,ME
25880,HILLSDALE,MI
43700,SOMERSET,KY
23860,PAWLEYS ISLAND,SC
29060,LACONIA,NH
22580,FOREST CITY,NC
27860,JONESBORO,AR
44300,STATE COLLEGE,PA
16500,CHEHALIS,WA
42900,WATERLOO,NY
30300,CLARKSTON,WA
24780,GREENVILLE,NC
33180,PINEVILLE,KY
19260,DANVILLE,VA
28180,KAPAA,HI
45180,TALLADEGA,AL
36340,FRANKLIN,PA
41900,CABO ROJO,PR
36340,OIL CITY,PA
49220,WISCONSIN RAPIDS,WI
19500,DECATUR,IL
44420,STAUNTON,VA
11180,AMES,IA
30140,LEBANON,PA
28580,KEY WEST,FL
34060,MORGANTOWN,WV
31260,LUFKIN,TX
44780,THREE RIVERS,MI
16940,CHEYENNE,WY
19500,DECATUR,IL
48180,WAYCROSS,GA
27460,JAMESTOWN,NY
35420,NEW PHILADELPHIA,OH
28620,KILL DEVIL HILLS,NC
22780,FORT LEONARD WOOD,MO
44660,STILLWATER,OK
37300,PALESTINE,TX
18460,CORNELIA,GA
46980,VICKSBURG,MS
14720,BRECKENRIDGE,CO
25840,HERMISTON,OR
22060,NORTHFIELD,MN
14720,DILLON,CO
23900,GETTYSBURG,PA
18060,COLUMBUS,MS
43060,SHAWNEE,OK
13220,BECKLEY,WV
37140,PADUCAH,KY
49740,YUMA,AZ
19260,DANVILLE,VA
13180,BEAVER DAM,WI
43140,SHELBY,NC
43420,SIERRA VISTA,AZ
42820,SELMA,AL
38580,GALLIPOLIS,OH
44460,STEAMBOAT SPRINGS,CO
47540,SAINT MARYS,OH
29200,WEST LAFAYETTE,IN
38340,PITTSFIELD,MA
13620,BERLIN,NH
13980,BLACKSBURG,VA
44940,SUMTER,SC
31300,LUMBERTON,NC
45700,TIFTON,GA
33540,MISSOULA,MT
22260,FERGUS FALLS,MN
11820,SEASIDE,OR
22280,DAYTON,NV
19420,SPRING CITY,TN
18020,COLUMBUS,IN
14660,BRAINERD,MN
35100,NEW BERN,NC
23940,GILLETTE,WY
41820,SANFORD,NC
28180,LIHUE,HI
44420,WAYNESBORO,VA
47080,LYONS,GA
45540,THE VILLAGES,FL
37140,PADUCAH,KY
18060,COLUMBUS,MS
12740,BARRE,VT
47580,WARNER ROBINS,GA
26820,IDAHO FALLS,ID
48180,WAYCROSS,GA
25740,HELENA,MT
16180,CARSON CITY,NV
22580,RUTHERFORDTON,NC
32420,MAYAGUEZ,PR
20940,EL CENTRO,CA
17340,CLEARLAKE,CA
43700,SOMERSET,KY
47020,VICTORIA,TX
20180,DU BOIS,PA
14580,BOZEMAN,MT
17860,COLUMBIA,MO
24620,GREENEVILLE,TN
42860,SENECA,SC
16100,ARTESIA,NM
25260,LEMOORE,CA
25840,PENDLETON,OR
25900,HILO,HI
27500,BELOIT,WI
40300,ROCHELLE,IL
24140,GOLDSBORO,NC
34860,NACOGDOCHES,TX
41660,SAN ANGELO,TX
42940,SEVIERVILLE,TN
23180,LAWRENCEBURG,KY
33500,MINOT,ND
29380,LAKE CITY,FL
29300,LAGRANGE,GA
24500,GREAT FALLS,MT
29860,LAUREL,MS
43060,SHAWNEE,OK
26300,HOT SPRINGS NATIONAL PARK,AR
25720,PARK CITY,UT
42420,GERING,NE
27620,JEFFERSON CITY,MO
47220,VINELAND,NJ
27220,JACKSON,WY
49080,WINNEMUCCA,NV
10540,ALBANY,OR
14010,NORMAL,IL
29940,LAWRENCE,KS
35440,LINCOLN CITY,OR
27160,WELLSTON,OH
47220,MILLVILLE,NJ
42500,AUSTIN,IN
16460,SALEM,IL
34780,MUSKOGEE,OK
17420,CLEVELAND,TN
18460,CLARKESVILLE,GA
25620,HATTIESBURG,MS
38420,PLATTEVILLE,WI
15820,GREENSBURG,KY
32940,MERIDIAN,MS
41100,SAINT GEORGE,UT
12220,AUBURN,AL
47700,WARSAW,IN
43320,SHOW LOW,AZ
47220,BRIDGETON,NJ
34860,NACOGDOCHES,TX
34420,PITTSBURG,TX
29860,LAUREL,MS
13020,BAY CITY,MI
46020,GRASS VALLEY,CA
22100,PARK HILLS,MO
41100,SAINT GEORGE,UT
40460,HAMLET,NC
29940,LAWRENCE,KS
36460,OLEAN,NY
38100,CARRIERE,MS
22780,WAYNESVILLE,MO
41900,SAN GERMAN,PR
45980,TROY,AL
27100,JACKSON,MI
34860,NACOGDOCHES,TX
29380,LAKE CITY,FL
40540,GREEN RIVER,WY
15420,RUPERT,ID
34620,MUNCIE,IN
24740,GREENVILLE,MS
13900,BISMARCK,ND
16220,CASPER,WY
28100,BOURBONNAIS,IL
41660,SAN ANGELO,TX
48100,ZOLFO SPRINGS,FL
27180,JACKSON,TN
27340,JACKSONVILLE,NC
22380,FLAGSTAFF,AZ
14020,BLOOMINGTON,IN
21220,SPRING CREEK,NV
11020,ALTOONA,PA
13740,BILLINGS,MT
47940,CEDAR FALLS,IA
15500,BURLINGTON,NC
25020,ARROYO,PR
10540,LEBANON,OR
29300,LAGRANGE,GA
17660,POST FALLS,ID
47240,EDGARTOWN,MA
13720,BIG STONE GAP,VA
15680,LEXINGTON PARK,MD
11140,AMERICUS,GA
40760,RUIDOSO,NM
20740,EAU CLAIRE,WI
33980,NEWPORT,NC
40940,THATCHER,AZ
34020,FRANKLIN,LA
36780,NEENAH,WI
22520,FLORENCE,AL
31460,MADERA,CA
27340,JACKSONVILLE,NC
47340,NORTH MANCHESTER,IN
25220,PONCHATOULA,LA
34060,MORGANTOWN,WV
21820,FAIRBANKS,AK
45660,FOSTORIA,OH
21260,CLE ELUM,WA
42140,SANTA FE,NM
17300,CLARKSVILLE,TN
12780,BARTLESVILLE,OK
29700,LAREDO,TX
20780,AVON,CO
25720,HEBER CITY,UT
21300,HORSEHEADS,NY
45500,TEXARKANA,AR
12300,WATERVILLE,ME
40340,ROCHESTER,MN
40780,RUSSELLVILLE,AR
46100,MANCHESTER,TN
45180,SYLACAUGA,AL
18980,CULLMAN,AL
49020,WINCHESTER,VA
35440,NEWPORT,OR
46100,TULLAHOMA,TN
16020,JACKSON,MO
11180,AMES,IA
48180,BLACKSHEAR,GA
25620,HATTIESBURG,MS
43740,SOMERSET,PA
44580,ROCK FALLS,IL
34620,MUNCIE,IN
21120,SAYRE,OK
39500,QUINCY,IL
17420,CLEVELAND,TN
18060,COLUMBUS,MS
11020,ALTOONA,PA
31460,MADERA,CA
43140,SHELBY,NC
34580,MOUNT VERNON,WA
34100,MORRISTOWN,TN
17780,COLLEGE STATION,TX
27980,KIHEI,HI
37770,DILLEY,TX
31660,MALONE,NY
49700,YUBA CITY,CA
28420,PASCO,WA
44220,SPRINGFIELD,OH
20740,EAU CLAIRE,WI
39660,RAPID CITY,SD
13740,BILLINGS,MT
20020,DOTHAN,AL
42700,SEBRING,FL
14010,BLOOMINGTON,IL
12020,ATHENS,GA
24100,JOHNSTOWN,NY
33260,MIDLAND,TX
44020,MILFORD,IA
45500,TEXARKANA,TX
21540,GLADSTONE,MI
22840,FORT PAYNE,AL
49700,MARYSVILLE,CA
26340,HOUGHTON,MI
25180,HAGERSTOWN,MD
42780,MIDDLEBURG,PA
31940,MARINETTE,WI
14820,PISGAH FOREST,NC
36140,WILDWOOD,NJ
39820,REDDING,CA
18180,CONCORD,NH
22860,FORT POLK,LA
29380,LAKE CITY,FL
31020,KELSO,WA
42460,SCOTTSBORO,AL
12740,MONTPELIER,VT
48020,WATERTOWN,WI
41400,SALEM,OH
41400,EAST LIVERPOOL,OH
18700,CORVALLIS,OR
22380,FLAGSTAFF,AZ
34740,MUSKEGON,MI
17860,COLUMBIA,MO
18260,COOKEVILLE,TN
30620,LIMA,OH
42940,SEVIERVILLE,TN
40700,ROSEBURG,OR
41260,RIDGWAY,PA
35100,NEW BERN,NC
13900,BISMARCK,ND
46660,VALDOSTA,GA
27100,JACKSON,MI
48580,LAKE GENEVA,WI
19220,STANFORD,KY
48020,FORT ATKINSON,WI
42140,SANTA FE,NM
33940,MONTROSE,CO
23820,GARDNERVILLE,NV
17860,COLUMBIA,MO
22820,BRUSH,CO
13380,BELLINGHAM,WA
30940,CORBIN,KY
21020,HERTFORD,NC
40080,BEREA,KY
22500,FLORENCE,SC
46660,VALDOSTA,GA
21140,ELKHART,IN
36220,ODESSA,TX
41660,SAN ANGELO,TX
19460,DECATUR,AL
34740,MUSKEGON,MI
34620,MUNCIE,IN
27380,RUSK,TX
26260,PRESCOTT,AR
43140,KINGS MOUNTAIN,NC
23820,MINDEN,NV
10700,GUNTERSVILLE,AL
40700,ROSEBURG,OR
30420,COZAD,NE
35140,PROSPERITY,SC
11420,FREMONT,IN
12300,AUGUSTA,ME
38540,POCATELLO,ID
19540,BERNE,IN
15260,SAINT SIMONS ISLAND,GA
44620,PLOVER,WI
34220,MOULTRIE,GA
18300,NORTH BEND,OR
38100,POPLARVILLE,MS
30620,LIMA,OH
34900,NAPA,CA
13460,BEND,OR
15260,BRUNSWICK,GA
21820,FAIRBANKS,AK
26780,GLENCOE,MN
38540,POCATELLO,ID
30340,AUBURN,ME
26380,THIBODAUX,LA
35420,DOVER,OH
49740,YUMA,AZ
26980,IOWA CITY,IA
40580,ROCKY MOUNT,NC
33980,MOREHEAD CITY,NC
48300,EAST WENATCHEE,WA
13900,MANDAN,ND
14140,BLUEFIELD,WV
48980,WILSON,NC
30140,LEBANON,PA
32380,CLEAR LAKE,IA
11580,ARCADIA,FL
45380,PANA,IL
16060,MARION,IL
27900,JOPLIN,MO
22800,FORT MADISON,IA
28380,MALDEN,MO
16540,WAYNESBORO,PA
22800,KEOKUK,IA
25220,HAMMOND,LA
14420,FRITCH,TX
20340,MARLOW,OK
34580,ANACORTES,WA
16540,CHAMBERSBURG,PA
20580,EAGLE PASS,TX
44900,TRION,GA
23700,GALLUP,NM
28740,KINGSTON,NY
31740,JUNCTION CITY,KS
26340,CALUMET,MI
31060,WHITE ROCK,NM
32780,MEDFORD,OR
10780,PINEVILLE,LA
26820,IDAHO FALLS,ID
36140,OCEAN CITY,NJ
24020,QUEENSBURY,NY
11980,ATHENS,TX
32620,SUMMIT,MS
18500,CORNING,NY
46380,FORT BRAGG,CA
37580,PARIS,TX
14010,BLOOMINGTON,IL
30260,MIFFLINBURG,PA
17420,CLEVELAND,TN
32780,MEDFORD,OR
40780,RUSSELLVILLE,AR
31500,HANOVER,IN
13940,SHELLEY,ID
20060,DOUGLAS,GA
42700,LAKE PLACID,FL
20740,CHIPPEWA FALLS,WI
12660,REEDSBURG,WI
42380,SAYRE,PA
45620,THOMASVILLE,GA
27700,JESUP,GA
17300,CLARKSVILLE,TN
13900,BISMARCK,ND
36300,POTSDAM,NY
19140,CHATSWORTH,GA
29700,LAREDO,TX
22020,FARGO,ND
25500,HARRISONBURG,VA
18900,CROSSVILLE,TN
27900,JOPLIN,MO
25900,KAILUA KONA,HI
18460,DEMOREST,GA
17220,BRIDGEPORT,WV
29700,LAREDO,TX
22100,BONNE TERRE,MO
13260,MITCHELL,IN
45860,TORRINGTON,CT
36220,ODESSA,TX
44340,STATESBORO,GA
35900,WILKESBORO,NC
23460,GADSDEN,AL
27180,JACKSON,TN
23860,MURRELLS INLET,SC
44100,SPRINGFIELD,IL
46340,TYLER,TX
14540,BOWLING GREEN,KY
28420,KENNEWICK,WA
22540,FOND DU LAC,WI
38240,PINEHURST,NC
11980,MABANK,TX
47240,OAK BLUFFS,MA
20180,CLEARFIELD,PA
49020,WINCHESTER,VA
35580,SLEEPY EYE,MN
20100,DOVER,DE
39780,CORNING,CA
21740,EVANSTON,WY
27020,KINGSFORD,MI
16220,CASPER,WY
38220,PINE BLUFF,AR
45340,RANCHOS DE TAOS,NM
21980,FALLON,NV
14020,BLOOMINGTON,IN
37620,PARKERSBURG,WV
41900,SABANA GRANDE,PR
24540,GREELEY,CO
20020,DOTHAN,AL
15260,BRUNSWICK,GA
31940,MENOMINEE,MI
20100,DOVER,DE
29200,LAFAYETTE,IN
28580,KEY LARGO,FL
42700,AVON PARK,FL
36620,PAYETTE,ID
37220,PAHRUMP,NV
16580,CHAMPAIGN,IL
13720,WISE,VA
13980,CHRISTIANSBURG,VA
10700,ALBERTVILLE,AL
13540,MANCHESTER CENTER,VT
13460,REDMOND,OR
33780,MONROE,MI
16940,CHEYENNE,WY
20780,VAIL,CO
30280,CHAPEL HILL,TN
19140,DALTON,GA
